ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"38.127.179.230","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","46656","socks4","3286","2","2025-01-28T17:50:21.395Z","100","8907","8916"
"173.212.221.21","elite","AS51167","DE","Contabo GmbH","9","Contabo GmbH","27075","socks4","884","1","2025-01-28T17:50:21.396Z","64","5720","8873"
"83.168.84.134","elite","AS35179","PL","ESPOL-FH","25","N/A","4153","socks4","1115","2","2025-01-28T17:50:21.392Z","76","6810","8984"
"195.208.61.116","elite","AS62240","RU","Clouvider Limited","8","Qwarta LLC","52803","socks4","1109","82","2025-01-28T17:50:21.391Z","100","8908","8921"
"5.8.240.92","elite","AS3178","IQ","FastLine Communication And Information Technology","77","FastLine Communication And Information Technology Ltd","4153","socks4","1394","85","2025-01-28T17:50:20.906Z","99","8833","8908"
"130.185.213.146","elite","AS48917","BG","Optinet Ltd","99","Optinet Ltd","5678","socks4","2207","1","2025-01-28T17:50:20.999Z","99","8860","8933"
"88.76.135.105","elite","AS3209","DE","ARCOR-IP","41","Arcor AG","53","socks5","1353","1","2025-01-28T17:50:20.904Z","81","1625","1998"
"163.172.115.17","elite","AS12876","FR","Online S.A.S.","1","ONLINE","24474","socks4","1192","2","2025-01-28T17:49:59.004Z","99","8854","8924"
"46.167.234.141","elite","AS16019","CZ","UPC Czech","39","Tkom Plus sro","5678","socks4","1698","1","2025-01-28T17:49:59.202Z","100","8809","8841"
"62.141.66.110","elite","AS3216","RU","COMBELNET","48","N/A","4145","socks4","904","2","2025-01-28T17:49:59.009Z","84","1871","2226"
"193.70.113.238","elite","AS16276","FR","OVH SAS","9","OVH","18545","socks5","72","1","2025-01-28T17:49:59.803Z","100","8934","8934"
"117.202.20.69","elite","AS9829","IN","BSNL Internet","124","NIB","1088","socks4","2367","79","2025-01-28T17:49:59.196Z","96","8525","8837"
"149.28.122.98","elite","AS20473","US","The Constant Company","96","Vultr Holdings, LLC","46560","socks5","66","2","2025-01-28T17:49:59.006Z","94","8299","8789"
"103.79.96.193","elite","AS64308","ID","PT IndoDev Niaga Internet","176","PT IndoDev Niaga Internet","4153","socks4","895","1","2025-01-28T17:49:59.000Z","99","8860","8921"
